Venue Platform,Theater
Cal Performances,The Greek Theater
Cal Performances,Zellerbach Hall
Ensemble,Academy of Music at Kimmel
Ensemble,Marian Anderson Hall
Ensemble,Miller Theather at Kimmel
Kauffman Center,Helzberg Hall
Kauffman Center,Muriel Kauffman Theater
PortTix,Merrill Auditorium
Ticketomaha,Hawks Mainstage at Omaha Community Playhouse
Ticketomaha,Kiewit Concert Hall at Holland Performing Arts Center
Ticketomaha,Orpheum Theater
Denver Center,Buell Theatre
Denver Center,The Marvin and Judi Wolf Theatre
Dr Phillips,Kia Center
Dr Phillips,Steinmetz Hall
Dr Phillips,Walt Disney Theater
Des Moines Civic Center,Des Moines Civic Center
ArtTix,Abravanel Hall
ArtTix,Delta Hall
ArtTix,Eccles Theater
ArtTix,Janet Quinney Lawson Capitol Theatre
Kroger Center,Kroger Center
Peace Center,Gunter Theatre
Peace Center,Peace Concert Hall
Tennessee Performing Arts Center,Andrew Jackson Hal
Tennessee Performing Arts Center,James K. Polk Theater
Mirvish,Ed Mirvish Theatre
Mirvish,Princess of Wales
Mirvish,Royal Alexandra Theatre
Telecharge,Ambassador Theatre New York
Telecharge,Bernard B Jacobs Theatre
Telecharge,Broadway Theatre New York
Telecharge,Circle in the Square
Telecharge,Gerald Schoenfeld Theatre
Telecharge,Imperial Theatre New York
Telecharge,John Golden Theatre
Telecharge,Lyceum Theatre
Telecharge,Majestic Theatre New York
Telecharge,Music Box Theater
Telecharge,Shubert Theater New York
Telecharge,Westside Theatre Upstairs New York
Ticketmaster,State Theatre Portland Maine
Kennedy Center,Eisenhower Theater
Kennedy Center,Kennedy Center Concert Hall
Kennedy Center,Terrace Theater
Lville Arts Center,Auroratheatre
Shubert Theater,Shubert Theater
Kravis Center,Dreyfoos Hall
Kravis Center,Kravis Center
The Grand Opera House,Baby Grand
Majestic & Empire Theaters,Charline McCombs Empire Theatre
Majestic & Empire Theaters,Majestic Theatre San Antonio
Saenger Theater,Saenger Theater
The Walter Ker Theater,The Walter Ker Theater
Detroit Broadway,Detroit Opera House
Detroit Broadway,Fisher Theater
Guthrie,Wurtele Thrust Stage
Granada,The Granada Theatre
Fort Worth Theater,Bass Performance Hall
Long Center for the Performing Arts,Dell Hall
